code	producer_product_id	producer_version_id	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_it	product_name_nl	product_name_pl	product_name_sv	abbreviated_product_name_fr	generic_name_de	generic_name_en	generic_name_es	generic_name_fr	generic_name_it	generic_name_nl	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_es	origin_fr	origin_nl	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	ingredients_text_pl	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	omega-3-fat_value	omega-3-fat_unit	alpha-linolenic-acid_value	alpha-linolenic-acid_unit	eicosapentaenoic-acid_value	eicosapentaenoic-acid_unit	cholesterol_value	cholesterol_unit	starch_value	starch_unit	vitamin-a_value	vitamin-a_unit	beta-carotene_value	beta-carotene_unit	vitamin-e_value	vitamin-e_unit	vitamin-k_value	vitamin-k_unit	vitamin-c_value	vitamin-c_unit	vitamin-b9_value	vitamin-b9_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	manganese_value	manganese_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_specified	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_quantity_per_unit	packaging_2_weight_specified	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_3_quantity_per_unit	packaging_3_weight_specified	packaging_3_weight_measured	packaging_4_number_of_units	packaging_4_shape	packaging_4_material	packaging_4_weight_specified	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_it	conservation_conditions_nl	warning_es	warning_fr	warning_it	warning_nl	preparation_es	preparation_fr	preparation_it	preparation_nl	nutriscore_grade_producer	recipe_idea_fr	customer_service_es	customer_service_fr	customer_service_it	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_data.missing_key_data	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
3760375910157			fr				Tomate cerise allongée																Fresh  Express	fresh-express	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Tomates et dérivés, Légumes frais, Tomates, Tomates cerise, Tomates fraîches"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:tomatoes-and-their-products,en:fresh-vegetables,en:tomatoes,en:cherry-tomatoes,en:fresh-tomatoes	Triman	fr:triman	France	en:france			0																tomates cerises allongées									100g	100g			19.3	kcal	0.26	g	0.06	g	2.49	g	2.48	g	1.2	g	0.86	g	0.025	g	0.01	g			19.3	kcal																																							1	en:box	en:plastic				14.6																																						en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	a	-1	not-applicable		-5	-10	1	0									App - Yuka, Apps
3250391292011			fr				Betteraves rouges bio ent. eplu. 500g					Betteraves rouges entieres bio cuites epluchees sterilisees sous vide				Betteraves rouges entières issues de l'Agriculture Biologique			500 g	100g	Plastique, Sous-vide	en:plastic,en:vacuum-packed	"Saint Éloi,Intermarché"	saint-eloi,intermarche	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes préparés, Légumes cuits, Légumes frais, Betteraves, Betteraves rouges cuites"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:prepared-vegetables,en:cooked-vegetables,en:fresh-vegetables,en:beet,en:cooked-beetroots	Bio, Bio européen, Agriculture UE, FR-BIO-01, FR-BIO-10, Point Vert, AB Agriculture Biologique	en:organic,en:eu-organic,en:eu-agriculture,en:fr-bio-01,en:fr-bio-10,en:green-dot,fr:ab-agriculture-biologique	France	en:france	Intermarché	intermarche	0		Union européenne	en:european-union								EMB45267,EMB 76400	emb-45267,emb-76400				Betteraves rouges sous vide issues de l'Agriculture Biologique.									100g	100g	228	kJ	43	kcal	0	g	0	g	11	g	10	g	2.3	g	0.9	g	0.03	g	0.012	g			228	kJ																																							1	en:film	en:pp-5-polypropylene			2		1	en:film	en:pp-5-polypropylene			4																																en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	b	0	not-applicable		-4	-2	0	15									App - yuka, Apps, App - Open Food Facts, Producers, Producer - les-mousquetaires
3276555320314	30195		fr				Ratte du Touquet									"Pomme de terre de consommation à chair ferme."			1 kg		Plastique, Sachet, Cagette, Bois	en:plastic,en:bag,en:crate,en:wood	Carrefour,Reflets de France	carrefour,reflets-de-france	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes frais, Pommes de terre"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:fresh-vegetables,en:potatoes	Point Vert, IGP	en:green-dot,en:pgi	France	en:france	Carrefour Market,Carrefour, carrefour.fr	carrefour-market,carrefour,carrefour-fr	0		France	en:france		Origine France		"TOUQUET SAVOUR S.A.S. RD 1001 – BP 60018 80160 ESSERTAUX FRANCE,France"	touquet-savour-s-a-s-rd-1001-bp-60018-80160-essertaux-france,france		Conditionné par Touquet Savour, 80160 Essertaux pour Interdis.						ratte du touquet									100g	100g			80	kcal	0.7	g	0.16	g	17.9	g	3	g			1.86	g	0	g	0	g			80	kcal																																								en:crate	en:plastic						en:bag	en:wood						en:unknown	en:unknown																								Interdis - TSA 91431 - 91343 MASSY Cedex - France			https://www.refletsdefrance.fr/recettes/plat/canard-confit-du-sud-ouest-dans-un-cappuccino-de-rattes-du-touquet	en:potatoes	en:cereals-and-potatoes,en:potatoes		unknown	a	-1	not-applicable		19	-15	2	0									App - yuka, Apps, Producers, Producer - carrefour
3560070321216	26801		fr			Cebolla En dados	Oignons En cubes	Cipolla A cubetti	Uien In blokjes						Cebolla en dados ultracongelada.	Oignons en cubes surgelés.	Cipolle a cubetti surgelate.	Uienblokjes diepvries.	400 g				Carrefour	carrefour	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Oignons et dérivés, Légumes frais"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:onions-and-their-products,en:fresh-vegetables	Point Vert, Nutriscore, Nutriscore A	en:green-dot,en:nutriscore,en:nutriscore-grade-a	France, Italie, Espagne	en:france,en:italy,en:spain	Carrefour, carrefour.fr	carrefour,carrefour-fr	0				Estas cebollas se cultivan, ultracongelan y envasan en España.					"Interdis - TSA 91431 - 91343 MASSY Cedex - Francia
Fabricado en España por Fruveco RGSEAA 21.14503/MU para Interdis."						Cebolla 100%										100g	100g	166	kJ	39	kcal					8	g	6.2	g	1.1	g	1	g							166	kJ																																																																"Conservar 24 horas en el frigorífico, 3 días en el congelador del frigorífico, varios meses en un congelador*** a -18 ºC y consumir preferentemente antes del fin de: ver fecha más abajo.
ATENCIÓN, NO VOLVER A CONGELAR UNA VEZ DESCONGELADO."	"À conserver 24 heures au réfrigérateur, 3 jours dans le compartiment à glace du réfrigérateur, plusieurs mois dans un congélateur*** à -18°C et à consommer de préférence avant fin : voir date ci-dessous.
ATTENTION, NE PAS RECONGELER APRÈS DÉCONGÉLATION"	"Conservare 24 ore in frigorifero, 3 giorni nello scomparto del ghiaccio del frigorifero, diversi mesi in un congelatore*** a -18°C e da consumarsi preferibilmente entro fine: vedere la data sotto.
ATTENZIONE, NON RICONGELARE DOPO LO SCONGELAMENTO."	"Bewaart 24 uur in de koelkast, 3 dagen in het vriesvak van de koelkast, meerdere maanden in een diepvriezer*** op -18°C en ten minste houdbaar tot einde: zie datum hieronder. 
NA ONTDOOIING NIET OPNIEUW INVRIEZEN"	"ATENCIÓN, NO VOLVER A CONGELAR UNA VEZ DESCONGELADO."	"ATTENTION, NE PAS RECONGELER APRÈS DÉCONGÉLATION."	ATTENZIONE, NON RICONGELARE DOPO LO SCONGELAMENTO.	NA ONTDOOIING NIET OPNIEUW INVRIEZEN.	Calentar una cucharada de aceite en una sartén. Verter la cebolla ultracongelada y dorar a fuego vivo.	"Faites chauffer une cuillerée d'huile dans une poêle. Versez l'oignon surgelé et faites dorer à feu vif."	Fate scaldare un cucchiaio d'olio in una padella. Versate le cipolle surgelate e fate dorare a fuoco vivo.	Verhit een lepel olie in een pan. Voeg de diepgevroren uien toe en laat op een hoog vuur bruinbakken.			Interdis - TSA 91431 - 91343 MASSY Cedex - France.	Interdis - TSA 91431 - 91343 MASSY Cedex - France.	Interdis - TSA 91431 - 91343 MASSY Cedex - France.	Interdis - TSA 91431 - 91343 MASSY Cedex - France.		en:vegetables	en:fruits-and-vegetables,en:vegetables	1	en:1-unprocessed-or-minimally-processed-foods	unknown		not-applicable	1	-5	-15	1	0									Producer - Carrefour, Producers, App - El CoCo, App - Yuka, Apps
3596710480982		Variante unique	fr				Mâche					Auchan mache origine france 125g				"Salade - Prête à l'emploiSans conservateur comme toutes les salades en sachet"			0.125 kg	40 g (40 g)	Plastique, Sachet, Sachet en plastique	en:plastic,en:bag,fr:sachet-en-plastique	Auchan	auchan	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes-feuilles, Légumes frais, Mâches, Mâche fraîche"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:leaf-vegetables,en:fresh-vegetables,en:corn-salad,fr:mache-fraiche	Sans conservateurs, Nutriscore, Nutriscore A	en:no-preservatives,en:nutriscore,en:nutriscore-grade-a	France, Monde	en:france,en:world	Auchan	auchan	0		France	en:france				France	france			EMB 13018D,EMB 45082C	emb-13018d,emb-45082c				Mâche									100g	100g	91	kJ	22	kcal	0.5	g	0.2	g	1.2	g	1	g	1.8	g	2.2	g	0.06	g	0.024	g			91	kJ																																			100	%			1	en:bag	en:plastic	en:recycle			6.19																												":Cette salade a été soigneusement lavée, triée puis essorée. C'est rapide, vous n'avez pas besoin de la laver à nouveau."			a							en:vegetables	en:fruits-and-vegetables,en:vegetables	1	en:1-unprocessed-or-minimally-processed-foods	a	-7	not-applicable		19	-10	1	0	3665257010010	10000271	Légumes - Préparé/Transformé (Périssable)	false	2023-12-13T13:38:48.670	AUCHAN APAW	Variante unique	2023-12-13T13:38:49.356	App - yuka, Apps, App - smoothie-openfoodfacts, Producers, Producer - auchan-apaw, Database - Agena3000, Database - GDSN, Databases
3596710295029		Variante unique	fr				Coeur de laitue					Auchan coeur laitue origine france				"Salade - Prête à l'emploiSans conservateur comme toutes les salades en sachet."			0.2 kg	50 g (50 g)	Plastique, Frais	en:plastic,en:fresh	Auchan	auchan	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes-feuilles, Légumes frais, Laitues"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:leaf-vegetables,en:fresh-vegetables,en:lettuces	Sans conservateurs, Point Vert, Nutriscore, Nutriscore A	en:no-preservatives,en:green-dot,en:nutriscore,en:nutriscore-grade-a	France, Monde	en:france,en:world	Auchan	auchan	0							France	france			EMB 13018B,EMB 45082	emb-13018b,emb-45082				Laitue									100g	100g	68	kJ	16	kcal	0.6	g	0.2	g	1.2	g	1	g	1	g	1	g	0.06	g	0.024	g			68	kJ																																									en:plastic																																:Cette salade a été soigneusement triée, lavée puis essorée. C'est rapide, vous n'avez pas besoin de la laver de nouveau			a							en:vegetables	en:fruits-and-vegetables,en:vegetables	1	en:1-unprocessed-or-minimally-processed-foods	a	-6	not-applicable		-5	-10	1	0	3665257010010	10000271	Légumes - Préparé/Transformé (Périssable)	false	2023-12-13T13:27:24.170	AUCHAN APAW	Variante unique	2023-12-13T13:27:25.476	App - yuka, Apps, Producers, Producer - auchan-apaw, Database - Agena3000, Database - GDSN, Databases
3596710330317		Variante unique	fr				laitue iceberg					Auchan laitue iceberg 300g				"Salade - Prête à l'emploiSans conservateur comme toutes les salades en sachet"			0.3 kg	80 g (80 g)	Bac de tri	fr:bac-de-tri	Auchan,L'oiseau,Auchan Production,Groupe Auchan	auchan,l-oiseau,auchan-production,groupe-auchan	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes-feuilles, Légumes frais, Laitues, Laitue iceberg"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:leaf-vegetables,en:fresh-vegetables,en:lettuces,en:iceberg-lettuce	Sans conservateurs, Point Vert, Fabriqué en France, Nutriscore, Nutriscore A, Triman, Bien se nourrir pour mieux vivre, Eco-Emballages	en:no-preservatives,en:green-dot,en:made-in-france,en:nutriscore,en:nutriscore-grade-a,fr:triman,fr:bien-se-nourrir-pour-mieux-vivre,fr:eco-emballages	France, Monde	en:france,en:world	Auchan,Banque alimentaire	auchan,banque-alimentaire	0							Les Crudettes (Filiale Financière SDH) - Route de Cavaillon - ZAC de la Plaine - 13440 Cabannes,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Les Crudettes (Filiale Financière SDH) - Rue de Saint-Barthélémy - ZI Saint-Barthélémy - 45110 Châteauneuf-sur-Loire,Loiret,Centre-Val de Loire,France	les-crudettes-filiale-financiere-sdh-route-de-cavaillon-zac-de-la-plaine-13440-cabannes,bouches-du-rhone,provence-alpes-cote-d-azur,les-crudettes-filiale-financiere-sdh-rue-de-saint-barthelemy-zi-saint-barthelemy-45110-chateauneuf-sur-loire,loiret,centre-val-de-loire,france			EMB 13018D,EMB 45082	emb-13018d,emb-45082				Laitue Iceberg									100g	100g	62	kJ	15	kcal	0.5	g	0.1	g	1.9	g	1.2	g	0.8	g	0.7	g	0.04	g	0.016	g			62	kJ																																							1	en:bag	en:plastic	en:recycle			6.56																												:Cette salade a été soigneusement triée, lavée puis essorée. C'est rapide, vous n'avez pas besoin de la laver de nouveau			a							en:vegetables	en:fruits-and-vegetables,en:vegetables	1	en:1-unprocessed-or-minimally-processed-foods	a	-5	not-applicable		-5	-10	1	0	3665257010010	10000271	Légumes - Préparé/Transformé (Périssable)	false	2023-12-13T13:11:29.007	AUCHAN APAW	Variante unique	2023-12-13T13:11:29.818	App - yuka, Apps, App - smoothie-openfoodfacts, Producers, Producer - auchan-apaw, Database - Agena3000, Database - GDSN, Databases
3596710496495		Variante unique	fr				Haricots verts extra-fins bio					Auchan bio haricots verts extra fin				Haricots verts extra-fins issus de l'agriculture biologique, surgelésProduction et distribution certifiée FR-BIO-01			0.6 kg	200 g (200 g soit 1/3 de sachet)			Auchan Bio	auchan-bio	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Aliments à base de fruits et de légumes, Légumineuses, Surgelés, Légumes et dérivés, Frais, Aliments à base de plantes surgelés, Aliments à base de plantes frais, Légumineuses surgelées, Légumes surgelés, Haricots verts, Légumes frais, Haricots verts surgelés"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:fruits-and-vegetables-based-foods,en:legumes,en:frozen-foods,en:vegetables-based-foods,en:fresh-foods,en:frozen-plant-based-foods,en:fresh-plant-based-foods,en:frozen-legumes,en:frozen-vegetables,en:green-beans,en:fresh-vegetables,en:frozen-green-beans	Bio, Bio européen, FR-BIO-01, Nutriscore, Nutriscore A, AB Agriculture Biologique	en:organic,en:eu-organic,en:fr-bio-01,en:nutriscore,en:nutriscore-grade-a,fr:ab-agriculture-biologique	France, Monde	en:france,en:world	Auchan	auchan	0		France	en:france													Haricots verts extra-fins biologiques									100g	100g	132	kJ	32	kcal	0.5	g	0.1	g	3.8	g	0.9	g	3.9	g	1.9	g	0.03	g	0.012	g			132	kJ																																							1	en:bag	en:plastic																																"à la casserole:Sans décongélation préalableCe produit doit être cuit avant consommationVerser dans une casserole d'eau bouillante salée la quantité de haricots verts souhaitée. Après reprise de l'ébullition, laisser cuire 5 à 6 minutes environ.Egoutter et assaisonner à votre convenance..à l'autocuiseur:Sans décongélation préalableCe produit doit être cuit avant consommationMettre les haricots verts dans l'autocuiseur avec 2 verres d'eau puis refermer-le. Dès la rotation de la soupape, laisser cuire 3 minutes.Egoutter et assaisonner selon votre convenance"			a							en:vegetables	en:fruits-and-vegetables,en:vegetables	1	en:1-unprocessed-or-minimally-processed-foods	a	-10	not-applicable		19	-10	1	15	3665257010010	10000005	Légumes - Non Préparé/Non Transformé (Surgelé)	false	2023-12-11T13:23:54.520	AUCHAN APAW	Variante unique	2023-12-11T13:23:55.425	Producers, Producer - auchan-apaw, Database - Agena3000, Database - GDSN, Databases, App - smoothie-openfoodfacts, Apps
3596710338528		Variante unique	fr				Jeunes pousses bio					Auchan bio jeunes pousses 100g				"Mélange de salades, issu de l'agriculture biologique - Prêt à l'emploi."			0.1 kg	40g	Sachet	en:bag	Auchan, Auchan Bio	auchan,auchan-bio	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes-feuilles, Légumes frais, Salades vertes, en:salads"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:leaf-vegetables,en:fresh-vegetables,en:leaf-salads,en:salads	Bio, Bio européen, FR-BIO-10, Nutriscore, Nutriscore A, AB Agriculture Biologique	en:organic,en:eu-organic,en:fr-bio-10,en:nutriscore,en:nutriscore-grade-a,fr:ab-agriculture-biologique	France, Monde	en:france,en:world	Auchan	auchan	0											EMB 50267	emb-50267				Jeunes pousses de laitues rouges*, jeunes pousses de laitues vertes*. *biologiques									100g	100g	72	kJ	17	kcal	0.5	g	0.1	g	0.5	g	0.5	g	2.1	g	2.1	g	0.05	g	0.02	g			72	kJ																																								en:bag																																	":Cette salade a été soigneusement triée, lavée puis essorée. C'est rapide, vous n'avez pas besoin de la laver à nouveau."			a							en:vegetables	en:fruits-and-vegetables,en:vegetables	1	en:1-unprocessed-or-minimally-processed-foods	a	-8	not-applicable		-5	-10	0	15	3665257010010	10000271	Légumes - Préparé/Transformé (Périssable)	false	2023-12-08T13:57:19.612	AUCHAN APAW	Variante unique	2023-12-08T13:57:21.305	App - yuka, Apps, Producers, Producer - auchan-apaw, Database - Agena3000, Database - GDSN, Databases
3596710496228		Variante unique	fr				Baby Carottes					Auchan baby carottes 200g				"Carottes crues prêtes à l'emploi"			0.2 kg				Auchan	auchan	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Carottes, Légumes frais, Carottes fraîches"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:carrots,en:fresh-vegetables,en:fresh-carrots	Sans conservateurs, Nutriscore, Nutriscore A, Triman	en:no-preservatives,en:nutriscore,en:nutriscore-grade-a,fr:triman	France, Monde	en:france,en:world	Auchan	auchan	0											EMB 17299G	emb-17299g				Carottes									100g	100g	143	kJ	34	kcal	0.5	g	0.1	g	6.2	g	3.6	g	3.1	g	0.7	g	0.05	g	0.02	g			143	kJ																																																																									": Ces carottes sont prêtes à l'emploi : ouvrir le sachet et déguster !"			a							en:vegetables	en:fruits-and-vegetables,en:vegetables	1	en:1-unprocessed-or-minimally-processed-foods	a	-8	not-applicable	1	-5	-15	1	0	3665257010010	10000271	Légumes - Préparé/Transformé (Périssable)	false	2023-12-06T13:29:25.010	AUCHAN APAW	Variante unique	2023-12-06T13:29:25.865	App - yuka, Apps, App - smoothie-openfoodfacts, Producers, Producer - auchan-apaw, Database - Agena3000, Database - GDSN, Databases
3523680239999			fr				Potimarron												800~1200 g		Frais	en:fresh	Carrefour Bio	carrefour-bio	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Produits de la plante de courge, Aliments à base de plantes frais, Légumes frais, Pulpe de potimarron, Potimarrons"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:pumpkin-and-squash-plant-products,en:fresh-plant-based-foods,en:fresh-vegetables,en:red-kuri-squash,fr:potimarrons	Bio, Bio européen, FR-BIO-01, AB Agriculture Biologique	en:organic,en:eu-organic,en:fr-bio-01,fr:ab-agriculture-biologique	France	en:france	Carrefour, carrefour.fr	carrefour,carrefour-fr	0		France, Provence	en:france,fr:provence				France,Provence	france,provence			EMB 13053H	emb-13053h				100% potimarron issue de l'agriculture biologique									100g	100g			25	kcal	0.1	g	0.02	g	10	g	1	g	1	g	1	g	0	g	0	g			25	kcal																																																																																			en:vegetables	en:fruits-and-vegetables,en:vegetables	1	en:1-unprocessed-or-minimally-processed-foods	a	-6	not-applicable	1	19	-15	1	15									App - yuka, Apps
20306335			fr				"Légumes à Pot au Feu"												1 kg						"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes frais"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:fresh-vegetables			France	en:france			0																carottes, poireau, navette, thon, laurimier, oignon				Poisson	en:fish				100g	100g																																																																																																											en:vegetables	en:fruits-and-vegetables,en:vegetables	1	en:1-unprocessed-or-minimally-processed-foods	unknown		not-applicable	1	-5	-15	1	0									App - yuka, Apps, App - smoothie-openfoodfacts
8437001082018			fr				Salade Romaine									Salade Romaine			2 pièces		Plastique	en:plastic	Fresco Fresh Mediterraneo	fresco-fresh-mediterraneo	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes-feuilles, Légumes frais, Salades vertes, en:salads"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:leaf-vegetables,en:fresh-vegetables,en:leaf-salads,en:salads			France	en:france	Franprix	franprix	0		Espagne	en:spain													Salade Romaine 100%									100g	100g			18	kcal	1	g	1	g	1	g	1	g			1	g	0		0	g			18	kcal																																									en:plastic																																										en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	b	0	not-applicable		12	-10	1	0									App - yuka, Apps
3270160001804			fr				Poireaux en rondelles									Poireaux en rondelles surgelés			1 kg		Surgelé, Sachet plastique	en:frozen,fr:sachet-plastique	Picard	picard	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Surgelés, Légumes, Frais, Aliments à base de plantes surgelés, Légumes tiges, Aliments à base de plantes frais, Légumes surgelés, Légumes frais, Poireaux, Poireaux surgelés"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:frozen-foods,en:vegetables,en:fresh-foods,en:frozen-plant-based-foods,en:vegetable-rods,en:fresh-plant-based-foods,en:frozen-vegetables,en:fresh-vegetables,en:leeks,en:frozen-leeks	Végétarien, Nutriscore, Nutriscore A, Triman	en:vegetarian,en:nutriscore,en:nutriscore-grade-a,fr:triman	France	en:france	Picard	picard	0		France, Belgique	en:france,en:belgium		France ou Benelux						EMB BE 220 858,EMB 56066C	emb-be-220-858,emb-56066c				Poireau									100g	100g	113	kJ	27	kcal	0.5	g	0.1	g	2.9	g	2.2	g	2.2	g	1.6	g	0.01	g	0.004	g			113	kJ																																					100	g	1	en:bag	en:plastic	en:recycle			9.1																																					https://www.picard.fr/produits/poireaux-en-rondelles-000000000000000180.html	en:vegetables	en:fruits-and-vegetables,en:vegetables	1	en:1-unprocessed-or-minimally-processed-foods	a	-7	not-applicable		17	-10	1	0									App - yuka, Apps
3386220000424			fr				Carottes des Yvelines																		"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Carottes, Légumes frais, Carottes fraîches"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:carrots,en:fresh-vegetables,en:fresh-carrots			France	en:france			0																									100g	100g			40.2	kcal	0.5	g	0.01	g	7.59	g	6	g	2.7	g	0.63	g	0.000275	g	0.00011	g			40.2	kcal																																																																																			en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	a	-6	not-applicable	1	-5	-15	1	0									App - Yuka, Apps
